dataset_name,n_samples,n_features,n_classes,samples_per_feature_ratio,overall_mean,overall_std,overall_variance,data_range_min,data_range_max,data_range_total,mean_feature_mean,std_feature_mean,mean_feature_std,std_feature_std,mean_feature_variance,mean_feature_range,max_mean_feature_value,max_mean_feature_index,max_std_feature_value,max_std_feature_index,min_std_feature_value,min_std_feature_index,max_feature_correlation,mean_feature_correlation,n_constant_features,proportion_constant_features,majority_class_size,minority_class_size,majority_class_percentage,minority_class_percentage,class_imbalance_ratio,class_entropy,class_distribution_description,original_label_type,class_cp_count,class_cp_percentage,class_im_count,class_im_percentage,class_imL_count,class_imL_percentage,class_imS_count,class_imS_percentage,class_imU_count,class_imU_percentage,class_om_count,class_om_percentage,class_omL_count,class_omL_percentage,class_pp_count,class_pp_percentage,class_1_count,class_1_percentage,class_2_count,class_2_percentage,class_3_count,class_3_percentage,class_5_count,class_5_percentage,class_6_count,class_6_percentage,class_7_count,class_7_percentage,class_0_count,class_0_percentage,class_4_count,class_4_percentage,class_Hernia_count,class_Hernia_percentage,class_Normal_count,class_Normal_percentage,class_Spondylolisthesis_count,class_Spondylolisthesis_percentage,class_N_count,class_N_percentage,class_O_count,class_O_percentage,class_bus_count,class_bus_percentage,class_opel_count,class_opel_percentage,class_saab_count,class_saab_percentage,class_van_count,class_van_percentage,class_b_count,class_b_percentage,class_g_count,class_g_percentage,class_-1.0_count,class_-1.0_percentage,class_1.0_count,class_1.0_percentage
statlog,845,18,4,46.94444444444444,117.63925049309665,112.76793750714675,12716.607729615756,0.0,1018.0,1018.0,117.63925049309665,103.39927549271556,22.763664225298196,38.820267235493695,2025.1975571972657,120.5,439.95739644970416,11,176.68753707860097,11,2.5920607157713924,8,0.9963179391294984,0.38468391886895514,0,0.0,217,199,25.680473372781066,23.550295857988164,0.9170506912442397,1.3856805305675879,bus: 217 samples (25.7%); opel: 212 samples (25.1%); saab: 217 samples (25.7%); van: 199 samples (23.6%),object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.0,25.680473372781066,212.0,25.088757396449708,217.0,25.680473372781066,199.0,23.550295857988164,,,,,,,,
hepatitis,80,19,2,4.2105263157894735,16.546842105263156,37.21156693438092,1384.7007137119115,0.0,420.0,420.0,16.54684210526316,30.547366790343055,8.733632108894184,19.37221634389443,451.5590958881581,43.810526315789474,102.9125,14,71.15106727941614,15,0.33071891388307384,12,0.64949049498705,0.16456179333190282,0,0.0,67,13,83.75,16.25,0.19402985074626866,0.4437922953464478,1: 13 samples (16.2%); 2: 67 samples (83.8%),int64,,,,,,,,,,,,,,,,,13.0,16.25,67.0,83.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wine,178,13,3,13.692307692307692,69.13366292091617,215.74620420485243,46546.424628801884,0.13,1680.0,1679.87,69.13366292091617,197.34202921370508,26.10414855878531,83.19327835011617,7602.54813461904,119.31923076923077,746.8932584269663,12,314.0216568419877,12,0.12410325988364797,7,0.8645635000951148,0.2814992135541684,0,0.0,71,48,39.8876404494382,26.96629213483146,0.676056338028169,1.086038443640683,1: 59 samples (33.1%); 2: 71 samples (39.9%); 3: 48 samples (27.0%),int64,,,,,,,,,,,,,,,,,59.0,33.146067415730336,71.0,39.8876404494382,48.0,26.96629213483146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haberman,306,3,2,102.0,39.77886710239651,26.769371460490916,716.5992483897455,0.0,83.0,83.0,39.77886710239651,25.634730770673542,7.069257376668744,3.079842016604623,59.459826704828664,38.666666666666664,62.85294117647059,1,10.78578520363183,0,3.244090833563246,1,0.08952944559093891,0.03477111603391116,0,0.0,225,81,73.52941176470588,26.47058823529412,0.36,0.5779217946828968,1: 225 samples (73.5%); 2: 81 samples (26.5%),int64,,,,,,,,,,,,,,,,,225.0,73.52941176470588,81.0,26.47058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ionosphere,351,34,2,10.323529411764707,0.24769699765376238,0.5756495664030422,0.33137242330001054,-1.0,1.0,2.0,0.24769699765376238,0.24417042317144838,0.5096928878765883,0.10939098590062113,0.2717532277482863,1.911764705882353,0.8917378917378918,0,0.6518972147394287,14,0.0,1,,,1,0.029411764705882353,225,126,64.1025641025641,35.8974358974359,0.56,0.652825793916348,b: 126 samples (35.9%); g: 225 samples (64.1%),object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,35.8974358974359,225.0,64.1025641025641,,,,
breast,683,9,2,75.88888888888889,3.148365056124939,2.894902513221552,8.380460561056458,1.0,10.0,9.0,3.1483650561249394,0.7068910827920223,2.7580930034993383,0.5231525037439649,7.880765558125584,9.0,4.44216691068814,0,3.641188645187717,5,1.7314052526140615,8,0.9072282331914421,0.5350571605090879,0,0.0,444,239,65.00732064421669,34.99267935578331,0.5382882882882883,0.6474013095978196,2: 444 samples (65.0%); 4: 239 samples (35.0%),int64,,,,,,,,,,,,,,,,,,,444.0,65.00732064421669,,,,,,,,,,,239.0,34.99267935578331,,,,,,,,,,,,,,,,,,,,,,,,,,
australian,690,15,2,46.0,-0.32793601318937193,0.7078306212069716,0.5010241883182474,-1.0,1.0,2.0,-0.32793601318937193,0.405033374198569,0.4719248232096335,0.33802235923400836,0.3369721541035688,1.8666666666666667,0.3565217391304348,1,0.9989240168032545,8,0.0,0,,,1,0.06666666666666667,383,307,55.507246376811594,44.492753623188406,0.8015665796344648,0.6870689028587588,-1.0: 383 samples (55.5%); 1.0: 307 samples (44.5%),float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.0,55.507246376811594,307.0,44.492753623188406
german,1000,25,2,40.0,-0.24212430106399999,0.8255821957217401,0.6815859618927296,-1.0,1.0,2.0,-0.2421243010640001,0.5097095440670536,0.6034431622911324,0.2400801792396951,0.42178214257968605,1.92,0.814,18,0.9813949256033567,14,0.0,0,,,1,0.04,700,300,70.0,30.0,0.42857142857142855,0.6108643020548935,-1.0: 700 samples (70.0%); 1.0: 300 samples (30.0%),float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,70.0,300.0,30.0
heart,270,14,2,19.285714285714285,-0.1762965238888889,0.7416040606009925,0.5499765826998805,-1.0,1.0,2.0,-0.17629652388888892,0.35498469485004175,0.5782860271292734,0.2992452505039044,0.4239624491221034,1.8571428571428572,0.44938267037037005,3,0.9960415480451108,7,0.0,0,,,1,0.07142857142857142,150,120,55.55555555555556,44.44444444444444,0.8,0.6869615765973234,-1.0: 150 samples (55.6%); 1.0: 120 samples (44.4%),float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,55.55555555555556,120.0,44.44444444444444
fourclass,862,3,2,287.3333333333333,0.005665671829079659,0.4493868222942084,0.20194851605168646,-1.0,1.0,2.0,0.00566567182907966,0.004767903628534468,0.3668120008722444,0.259566444600946,0.20192578314667542,1.3333333333333333,0.011664653596287695,1,0.5624174175337209,2,0.0,0,,,1,0.3333333333333333,555,307,64.38515081206496,35.614849187935036,0.5531531531531532,0.6511699323359197,-1.0: 555 samples (64.4%); 1.0: 307 samples (35.6%),float64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.0,64.38515081206496,307.0,35.614849187935036
